league,matches,test,model_ll,market_ll,edge,bets,win_rate,roi,profit,max_dd
2. Bundesliga,6422,3210,1.0419780382253903,1.0395624058930253,-0.0024156323323649698,734,45.36784741144414,2.800257064351927,2490.1566432820932,28.55175090959602
Bundesliga,6426,3210,1.001658395444533,0.9975268142307214,-0.00413158121381163,627,43.859649122807014,-10.557112166186078,-4701.762179328783,57.631101186840326
Championship,11592,5795,1.0438521305476658,1.0422090385472174,-0.0016430920004484317,687,42.503639010189225,-8.955783282601647,-3602.3551871642217,46.20650203423449
Eredivisie,6045,3020,0.9487691414594527,0.9464947674761186,-0.002274373983334077,805,55.40372670807453,-2.3751232578593435,-1737.2493951280903,30.465939915921137
Jupiler League,5667,2830,0.9901150535075915,0.98698301844879,-0.003132035058801552,791,57.64854614412137,-2.969170997070957,-2158.4326032042236,53.44374497180151
La Liga,7980,3990,0.9464477095889775,0.9402360946159534,-0.006211614973024138,1624,59.97536945812808,-0.029591151816516566,-84.59361572395318,50.259676607702794
League One,11438,5715,1.0409748709029327,1.0391712982358545,-0.0018035726670782015,2013,47.73969200198708,-5.381202300128185,-6961.242847206155,73.55203446186164
League Two,11474,5735,1.0597306207940052,1.0568086670690504,-0.00292195372495474,1068,39.7940074906367,-14.640584810569537,-6567.479879900474,65.67479879900479
Ligue 1,7654,3825,0.9995414907070843,0.9969569250809387,-0.0025845656261456185,550,51.272727272727266,2.3228694369947576,1325.2695425583906,15.705169015035025
Premier League,7980,3990,0.9573627479761954,0.9539688350131553,-0.0033939129630400355,1235,53.84615384615385,-0.7463085748846168,-946.8356370731311,48.18936650058876
Primeira Liga,5654,2825,0.933206027526712,0.9342598619609123,0.0010538344342002626,1321,61.01438304314913,-0.07316888515815798,-167.20959185582055,42.376998786181694
Scottish Premiership,4509,2250,0.9846626806369752,0.9790858739729988,-0.005576806663976308,701,54.493580599144074,-3.2056080788618018,-2425.640243963209,32.255894917954485
Serie A,7972,3985,0.9658594413940025,0.9636804292176677,-0.0021790121763347603,1793,56.274400446179584,2.1338489802950407,6929.061860679647,32.76117448783888
Super Lig,6368,3180,0.9910390583176358,0.9904938758011793,-0.0005451825164565216,1224,52.614379084967325,0.6567911358220168,994.0394872092576,28.66535803945942
