bet_no,timestamp,kickoff,data_cutoff,league,league_code,match,home,away,prediction,prob_home,prob_draw,prob_away,odds_home,odds_draw,odds_away,sharp_home,sharp_draw,sharp_away,edge,threshold,confidence,rest_home,rest_away,league_roi,league_seen,decision,reason,stake,result,result_known_at_prediction,leak_flag,invalidated,bankroll_before,profit,bankroll_after
,2026-05-14,2026-05-17,2026-05-14,La Liga,SP1,Vallecano vs Villarreal,Vallecano,Villarreal,,0.4092,0.2671,0.3237,2.35,3.5,2.63,,,,-0.0384,0.53,0.114,0,1,-1.0,270,,no positive edge,0.0,,False,0,0,972500.0,0.0,972500.0
,2026-05-22,2026-05-23,2026-05-22,Serie A,I1,Lazio vs Pisa,Lazio,Pisa,,0.6154,0.248,0.1366,1.55,4.2,6.0,,,,0.0416,0.1109,0.423,5,5,-0.1618,301,,no edge,0.0,,False,0,0,942500.0,0.0,942500.0
21.0,2026-05-22,2026-05-23,2026-05-22,Serie A,I1,Bologna vs Inter,Bologna,Inter,away_win,0.2135,0.2593,0.5272,3.1,3.6,2.2,,,,0.1598,0.1109,0.291,5,5,-0.1618,301,away_win,edge +16.0% > +11.1% (league penalty +8.1%),10000.0,D,False,0,0,942500.0,-10000.0,932500.0
,2026-05-22,2026-05-23,2026-05-22,La Liga,SP1,Alaves vs Vallecano,Alaves,Vallecano,,0.4949,0.2915,0.2136,2.45,3.4,2.8,,,,0.2125,0.53,0.242,5,5,-1.0,280,,no edge,0.0,,False,0,0,942500.0,0.0,942500.0
,2026-05-22,2026-05-23,2026-05-22,La Liga,SP1,Espanol vs Sociedad,Espanol,Sociedad,,0.4296,0.3267,0.2437,2.45,3.5,2.75,,,,0.1435,0.53,0.144,5,5,-1.0,280,,no edge,0.0,,False,0,0,942500.0,0.0,942500.0
,2026-05-22,2026-05-23,2026-05-22,La Liga,SP1,Betis vs Levante,Betis,Levante,,0.605,0.2558,0.1393,2.25,3.2,3.4,,,,0.3613,0.53,0.408,5,5,-1.0,280,,no edge,0.0,,False,0,0,942500.0,0.0,942500.0
,2026-05-22,2026-05-23,2026-05-22,La Liga,SP1,Celta vs Sevilla,Celta,Sevilla,,0.3626,0.2794,0.3579,1.73,3.8,4.75,,,,0.7,0.53,0.044,5,5,-1.0,280,,prob 36% < floor 40%,0.0,,False,0,0,942500.0,0.0,942500.0
,2026-05-22,2026-05-23,2026-05-22,La Liga,SP1,Valencia vs Barcelona,Valencia,Barcelona,,0.2187,0.23,0.5512,3.6,4.2,1.85,,,,0.0197,0.53,0.327,5,5,-1.0,280,,no edge,0.0,,False,0,0,942500.0,0.0,942500.0
,2026-05-22,2026-05-23,2026-05-22,La Liga,SP1,Getafe vs Osasuna,Getafe,Osasuna,,0.4856,0.2809,0.2335,2.45,2.88,3.4,,,,0.1897,0.53,0.228,5,5,-1.0,280,,no edge,0.0,,False,0,0,942500.0,0.0,942500.0
,2026-05-22,2026-05-23,2026-05-22,La Liga,SP1,Real Madrid vs Ath Bilbao,Real Madrid,Ath Bilbao,,0.6548,0.2283,0.1169,1.5,4.75,5.75,,,,0.0844,0.53,0.482,5,5,-1.0,280,,no edge,0.0,,False,0,0,942500.0,0.0,942500.0
,2026-05-22,2026-05-23,2026-05-22,La Liga,SP1,Girona vs Elche,Girona,Elche,,0.491,0.2771,0.2319,1.8,3.9,4.2,,,,0.0807,0.53,0.237,5,5,-1.0,280,,no edge,0.0,,False,0,0,942500.0,0.0,942500.0
,2026-05-22,2026-05-23,2026-05-22,La Liga,SP1,Mallorca vs Oviedo,Mallorca,Oviedo,,0.4988,0.2844,0.2168,1.44,4.5,7.0,,,,0.5176,0.53,0.248,5,5,-1.0,280,,no edge,0.0,,False,0,0,942500.0,0.0,942500.0
,2026-05-22,2026-05-24,2026-05-22,Serie A,I1,Napoli vs Udinese,Napoli,Udinese,,0.5446,0.2251,0.2303,1.48,4.0,8.0,,,,0.8424,0.1109,0.317,5,5,-0.1618,301,,prob 23% < floor 40%,0.0,,False,0,0,942500.0,0.0,942500.0
22.0,2026-05-22,2026-05-24,2026-05-22,Serie A,I1,Parma vs Sassuolo,Parma,Sassuolo,home_win,0.4257,0.3076,0.2667,2.7,3.4,2.63,,,,0.1494,0.1109,0.139,5,5,-0.1618,301,home_win,edge +14.9% > +11.1% (league penalty +8.1%),10000.0,H,False,0,0,942500.0,17000.0,949500.0
,2026-05-22,2026-05-24,2026-05-22,Serie A,I1,Torino vs Juventus,Torino,Juventus,,0.3495,0.2525,0.398,7.5,4.5,1.42,,,,1.6212,0.1109,0.097,5,5,-0.1618,301,,prob 35% < floor 40%,0.0,,False,0,0,942500.0,0.0,942500.0
,2026-05-22,2026-05-24,2026-05-22,La Liga,SP1,Villarreal vs Ath Madrid,Villarreal,Ath Madrid,,0.4861,0.2766,0.2373,2.45,3.6,2.75,,,,0.1909,0.53,0.229,5,5,-1.0,280,,no edge,0.0,,False,0,0,942500.0,0.0,942500.0
,2026-05-22,2026-05-24,2026-05-22,Serie A,I1,Milan vs Cagliari,Milan,Cagliari,,0.6726,0.2185,0.1088,1.29,5.5,11.0,,,,0.2018,0.1109,0.509,5,5,-0.1618,301,,prob 22% < floor 40%,0.0,,False,0,0,942500.0,0.0,942500.0
,2026-05-22,2026-05-24,2026-05-22,Serie A,I1,Cremonese vs Como,Cremonese,Como,,0.2341,0.2652,0.5008,5.25,4.33,1.57,,,,0.229,0.1109,0.251,5,5,-0.1618,301,,prob 23% < floor 40%,0.0,,False,0,0,942500.0,0.0,942500.0
23.0,2026-05-22,2026-05-24,2026-05-22,Serie A,I1,Lecce vs Genoa,Lecce,Genoa,away_win,0.2949,0.2914,0.4137,1.75,3.5,5.0,,,,1.0685,0.1109,0.121,5,5,-0.1618,301,away_win,edge +106.9% > +11.1% (league penalty +8.1%),10000.0,H,False,0,0,942500.0,-10000.0,939500.0
,2026-05-22,2026-05-24,2026-05-22,Serie A,I1,Verona vs Roma,Verona,Roma,,0.1778,0.2514,0.5708,10.0,5.5,1.3,,,,0.778,0.1109,0.356,5,5,-0.1618,301,,prob 18% < floor 40%,0.0,,False,0,0,942500.0,0.0,942500.0
