run_id,seed,season,start_date,end_date,leagues_encountered,leagues_analysed,matches_evaluated,bets_placed,no_bets,wins,losses,win_rate,start_bankroll,final_bankroll,total_profit,total_staked,roi_pct,avg_odds,avg_model_prob,avg_edge,max_drawdown,n_leak_flags,frozen_window,survival,model_refits,n_bets,n_wins,strike_rate
run_1000,1000,2526,2025-09-13,2026-05-24,E0|I1,E0|I1,607,95,512,31,64,0.3263,1000000.0,895300.0,-104700.0,950000.0,-11.02,2.866,0.485,0.358,0.1661,0,True,False,10,95,31,0.3263157894736842
run_1001,1001,2526,2025-09-01,2026-05-24,I1|E0|SP1|D1,D1|E0|I1|SP1,1264,95,1169,32,63,0.3368,1000000.0,838700.0,-161300.0,950000.0,-16.98,2.643,0.502,0.2967,0.1906,0,True,False,19,95,32,0.3368421052631579
run_1002,1002,2425,2024-09-24,2025-05-25,SP1|D1|E0,D1|E0|SP1,835,83,752,25,58,0.3012,1000000.0,856300.0,-143700.0,830000.0,-17.31,2.756,0.476,0.2915,0.1588,0,True,False,12,83,25,0.30120481927710846
run_1003,1003,2223,2022-10-18,2023-06-04,D1|SP1,D1|SP1,417,134,283,63,71,0.4701,1000000.0,1135800.0,135800.0,1340000.0,10.13,2.415,0.524,0.2315,0.0818,0,True,False,6,134,63,0.4701492537313433
run_1004,1004,2223,2022-10-14,2023-06-04,D1|E0|I1|SP1,D1|E0|I1|SP1,905,155,750,63,92,0.4065,1000000.0,990400.0,-9600.0,1550000.0,-0.62,2.477,0.523,0.2633,0.1273,0,True,False,15,155,63,0.4064516129032258
run_1005,1005,2324,2023-11-07,2024-06-02,I1|SP1|D1,D1|I1|SP1,622,92,530,28,64,0.3043,1000000.0,788500.0,-211500.0,920000.0,-22.99,2.69,0.499,0.3117,0.2607,0,True,False,10,92,28,0.30434782608695654
run_1006,1006,2223,2022-10-31,2023-06-04,D1|SP1|I1,D1|I1|SP1,614,90,524,38,52,0.4222,1000000.0,1027000.0,27000.0,900000.0,3.0,2.472,0.535,0.282,0.1021,0,True,False,10,90,38,0.4222222222222222
run_1007,1007,2425,2024-09-12,2025-05-25,SP1|D1,D1|SP1,509,62,447,19,43,0.3065,1000000.0,877300.0,-122700.0,620000.0,-19.79,2.782,0.489,0.3292,0.1801,0,True,False,8,62,19,0.3064516129032258
run_1008,1008,2122,2021-11-18,2022-05-22,I1|SP1|E0,E0|I1|SP1,695,59,636,20,39,0.339,1000000.0,900200.0,-99800.0,590000.0,-16.92,2.72,0.506,0.3311,0.1324,0,True,False,10,59,20,0.3389830508474576
run_1009,1009,2223,2022-11-02,2023-06-04,D1|I1|SP1|E0,D1|E0|I1|SP1,876,73,803,27,46,0.3699,1000000.0,963100.0,-36900.0,730000.0,-5.05,2.602,0.529,0.3297,0.1506,0,True,False,13,73,27,0.3698630136986301
