bet_no,timestamp,kickoff,data_cutoff,league,league_code,match,home,away,prediction,prob_home,prob_draw,prob_away,odds_home,odds_draw,odds_away,sharp_home,sharp_draw,sharp_away,edge,threshold,confidence,rest_home,rest_away,league_roi,league_seen,decision,reason,stake,result,result_known_at_prediction,leak_flag,invalidated,bankroll_before,profit,bankroll_after
1.0,2024-11-22,2024-11-23,2024-11-22,La Liga,SP1,Valencia vs Betis,Valencia,Betis,away_win,0.2933,0.2866,0.4201,3.0,3.0,2.6,2.98,3.09,2.67,0.0923,0.045,0.13,6,6,0.0,1,away_win,edge +9.2% > +4.5% (league penalty +1.5%),10000.0,H,False,0,0,1000000.0,-10000.0,990000.0
2.0,2024-11-22,2024-11-24,2024-11-22,La Liga,SP1,Osasuna vs Villarreal,Osasuna,Villarreal,away_win,0.2915,0.2921,0.4165,2.55,3.4,2.75,2.62,3.5,2.74,0.1454,0.045,0.125,6,6,0.0,1,away_win,edge +14.5% > +4.5% (league penalty +1.5%),10000.0,D,False,0,0,1000000.0,-10000.0,980000.0
3.0,2024-12-13,2024-12-14,2024-12-13,Premier League,E0,Nott'm Forest vs Aston Villa,Nott'm Forest,Aston Villa,home_win,0.4223,0.2961,0.2816,2.63,3.3,2.7,2.67,3.38,2.76,0.1106,0.03,0.133,6,6,0.0,39,home_win,edge +11.1% > +3.0%,10000.0,H,False,0,0,980000.0,16300.0,996300.0
4.0,2024-12-18,2024-12-21,2024-12-18,Premier League,E0,West Ham vs Brighton,West Ham,Brighton,home_win,0.4485,0.277,0.2745,2.88,3.7,2.35,2.8,3.83,2.41,0.2917,0.03,0.173,2,3,1.63,49,home_win,edge +29.2% > +3.0%,10000.0,D,False,0,0,996300.0,-10000.0,986300.0
5.0,2024-12-18,2024-12-21,2024-12-18,Premier League,E0,Brentford vs Nott'm Forest,Brentford,Nott'm Forest,home_win,0.5124,0.2533,0.2343,2.3,3.6,2.9,2.39,3.47,3.07,0.1785,0.03,0.269,3,4,1.63,49,home_win,edge +17.9% > +3.0%,10000.0,A,False,0,0,996300.0,-10000.0,976300.0
6.0,2024-12-18,2024-12-21,2024-12-18,Premier League,E0,Aston Villa vs Man City,Aston Villa,Man City,home_win,0.4012,0.2588,0.3401,3.25,3.7,2.1,3.3,3.79,2.14,0.3039,0.03,0.102,4,3,1.63,49,home_win,edge +30.4% > +3.0%,10000.0,H,False,0,0,996300.0,22500.0,998800.0
7.0,2024-12-20,2024-12-22,2024-12-20,Premier League,E0,Leicester vs Wolves,Leicester,Wolves,home_win,0.4383,0.281,0.2807,2.55,3.4,2.7,2.63,3.58,2.68,0.1177,0.03,0.157,6,6,1.63,49,home_win,edge +11.8% > +3.0%,10000.0,A,False,0,0,996300.0,-10000.0,988800.0
8.0,2024-12-26,2024-12-29,2024-12-26,Premier League,E0,Everton vs Nott'm Forest,Everton,Nott'm Forest,away_win,0.2968,0.28,0.4231,2.6,3.2,2.8,2.69,3.18,2.88,0.1847,0.03,0.135,0,0,0.176,67,away_win,edge +18.5% > +3.0%,10000.0,A,False,0,0,988800.0,18000.0,1006800.0
9.0,2024-12-27,2024-12-30,2024-12-27,Premier League,E0,Man United vs Newcastle,Man United,Newcastle,away_win,0.306,0.2621,0.4319,2.75,3.5,2.55,2.72,3.68,2.54,0.1013,0.03,0.148,1,1,0.176,69,away_win,edge +10.1% > +3.0%,10000.0,A,False,0,0,988800.0,15500.0,1022300.0
10.0,2025-01-01,2025-01-04,2025-01-01,Premier League,E0,Tottenham vs Newcastle,Tottenham,Newcastle,away_win,0.2565,0.2616,0.4819,2.88,3.8,2.25,2.97,4.06,2.22,0.0843,0.03,0.223,3,2,0.6043,79,away_win,edge +8.4% > +3.0%,10000.0,A,False,0,0,1022300.0,12500.0,1034800.0
11.0,2025-01-11,2025-01-14,2025-01-11,Premier League,E0,West Ham vs Fulham,West Ham,Fulham,away_win,0.2653,0.2759,0.4588,3.0,3.4,2.38,3.03,3.54,2.41,0.0919,0.03,0.188,7,6,0.685,89,away_win,edge +9.2% > +3.0%,10000.0,H,False,0,0,1034800.0,-10000.0,1024800.0
12.0,2025-01-15,2025-01-18,2025-01-15,Premier League,E0,West Ham vs Crystal Palace,West Ham,Crystal Palace,away_win,0.3016,0.2717,0.4268,2.6,3.5,2.63,2.65,3.49,2.7,0.1225,0.03,0.14,1,0,0.4978,97,away_win,edge +12.2% > +3.0%,10000.0,A,False,0,0,1024800.0,16300.0,1041100.0
13.0,2025-01-16,2025-01-19,2025-01-16,Premier League,E0,Man United vs Brighton,Man United,Brighton,away_win,0.3002,0.2725,0.4273,2.1,3.6,3.3,2.11,3.77,3.39,0.4101,0.03,0.141,0,0,0.4978,99,away_win,edge +41.0% > +3.0%,10000.0,A,False,0,0,1024800.0,23000.0,1064100.0
14.0,2025-01-16,2025-01-19,2025-01-16,Premier League,E0,Everton vs Tottenham,Everton,Tottenham,away_win,0.2172,0.2704,0.5124,2.8,3.5,2.45,2.97,3.45,2.46,0.2554,0.03,0.269,1,1,0.4978,99,away_win,edge +25.5% > +3.0%,10000.0,H,False,0,0,1024800.0,-10000.0,1054100.0
15.0,2025-01-31,2025-02-01,2025-01-31,Premier League,E0,Ipswich vs Southampton,Ipswich,Southampton,home_win,0.5586,0.2654,0.176,1.95,3.6,3.8,2.0,3.71,3.78,0.0893,0.03,0.338,6,6,0.6175,119,home_win,edge +8.9% > +3.0%,10000.0,A,False,0,0,1054100.0,-10000.0,1044100.0
16.0,2025-02-12,2025-02-15,2025-02-12,Premier League,E0,Fulham vs Nott'm Forest,Fulham,Nott'm Forest,away_win,0.3087,0.2764,0.4149,2.2,3.4,3.3,2.23,3.38,3.47,0.3692,0.03,0.122,11,11,0.4931,130,away_win,edge +36.9% > +3.0%,10000.0,H,False,0,0,1044100.0,-10000.0,1034100.0
17.0,2025-02-14,2025-02-16,2025-02-14,La Liga,SP1,Valladolid vs Sevilla,Valladolid,Sevilla,home_win,0.4377,0.2902,0.2721,4.0,3.4,1.95,4.14,3.4,2.0,0.7508,0.53,0.157,7,5,-1.0,104,home_win,edge +75.1% > +53.0% (league penalty +50.0%),10000.0,A,False,0,0,1044100.0,-10000.0,1024100.0
18.0,2025-02-14,2025-02-16,2025-02-14,Premier League,E0,Tottenham vs Man United,Tottenham,Man United,away_win,0.2937,0.2859,0.4204,2.45,3.75,2.62,2.46,3.84,2.73,0.1014,0.03,0.131,12,12,0.4931,131,away_win,edge +10.1% > +3.0%,10000.0,H,False,0,0,1044100.0,-10000.0,1014100.0
19.0,2025-02-19,2025-02-22,2025-02-19,Premier League,E0,Fulham vs Crystal Palace,Fulham,Crystal Palace,away_win,0.3151,0.282,0.4029,2.05,3.4,3.7,2.04,3.52,3.84,0.4907,0.03,0.104,4,4,0.294,141,away_win,edge +49.1% > +3.0%,10000.0,A,False,0,0,1014100.0,27000.0,1041100.0
20.0,2025-02-19,2025-02-22,2025-02-19,Premier League,E0,Aston Villa vs Chelsea,Aston Villa,Chelsea,home_win,0.4866,0.2957,0.2177,2.63,3.4,2.6,2.62,3.78,2.58,0.2798,0.03,0.23,0,5,0.294,141,home_win,edge +28.0% > +3.0%,10000.0,H,False,0,0,1014100.0,16300.0,1057400.0
21.0,2025-02-21,2025-02-23,2025-02-21,Premier League,E0,Man City vs Liverpool,Man City,Liverpool,home_win,0.4563,0.2506,0.2932,2.88,3.8,2.25,2.95,3.97,2.26,0.3141,0.03,0.184,6,2,0.294,142,home_win,edge +31.4% > +3.0%,10000.0,A,False,0,0,1014100.0,-10000.0,1047400.0
22.0,2025-02-22,2025-02-25,2025-02-22,Premier League,E0,Wolves vs Fulham,Wolves,Fulham,away_win,0.2436,0.3052,0.4512,2.63,3.3,2.63,2.74,3.36,2.74,0.1867,0.03,0.177,0,0,0.5141,149,away_win,edge +18.7% > +3.0%,10000.0,A,False,0,0,1057400.0,16300.0,1063700.0
23.0,2025-02-22,2025-02-25,2025-02-22,Premier League,E0,Brighton vs Bournemouth,Brighton,Bournemouth,away_win,0.3234,0.275,0.4016,2.0,3.8,3.3,2.06,3.84,3.53,0.3253,0.03,0.102,0,0,0.5141,149,away_win,edge +32.5% > +3.0%,10000.0,H,False,0,0,1057400.0,-10000.0,1053700.0
24.0,2025-02-22,2025-02-25,2025-02-22,Premier League,E0,Crystal Palace vs Aston Villa,Crystal Palace,Aston Villa,away_win,0.309,0.2844,0.4066,2.45,3.4,2.8,2.57,3.42,2.89,0.1385,0.03,0.11,0,0,0.5141,149,away_win,edge +13.8% > +3.0%,10000.0,H,False,0,0,1057400.0,-10000.0,1043700.0
25.0,2025-02-23,2025-02-26,2025-02-23,Premier League,E0,Tottenham vs Man City,Tottenham,Man City,away_win,0.1778,0.2574,0.5648,3.25,4.0,2.0,3.23,4.15,2.07,0.1296,0.03,0.347,1,0,0.43,151,away_win,edge +13.0% > +3.0%,10000.0,A,False,0,0,1047400.0,10000.0,1053700.0
26.0,2025-03-14,2025-03-16,2025-03-14,Premier League,E0,Fulham vs Tottenham,Fulham,Tottenham,away_win,0.2782,0.2923,0.4295,2.0,3.75,3.6,2.03,3.88,3.53,0.5462,0.03,0.144,6,5,0.387,171,away_win,edge +54.6% > +3.0%,10000.0,H,False,0,0,1053700.0,-10000.0,1043700.0
27.0,2025-03-14,2025-03-16,2025-03-14,Premier League,E0,Arsenal vs Chelsea,Arsenal,Chelsea,home_win,0.6198,0.2407,0.1395,1.8,3.6,4.5,1.81,3.78,4.55,0.1156,0.03,0.43,5,5,0.387,171,home_win,edge +11.6% > +3.0%,10000.0,H,False,0,0,1053700.0,8000.0,1051700.0
