bet_no,timestamp,kickoff,data_cutoff,league,league_code,match,home,away,prediction,prob_home,prob_draw,prob_away,odds_home,odds_draw,odds_away,sharp_home,sharp_draw,sharp_away,edge,threshold,confidence,rest_home,rest_away,league_roi,league_seen,decision,reason,stake,result,result_known_at_prediction,leak_flag,invalidated,bankroll_before,profit,bankroll_after
1.0,2024-11-22,2024-11-23,2024-11-10,La Liga,SP1,Celta vs Barcelona,Celta,Barcelona,away_win,0.201,0.2205,0.5786,4.75,4.33,1.65,,,,-0.0454,0.0,0.0,0,0,0.0,0,away_win,implied 58% >= 40%,10000.0,D,False,0,0,1000000.0,-10000.0,990000.0
2.0,2024-11-22,2024-11-23,2024-11-10,La Liga,SP1,Girona vs Espanol,Girona,Espanol,home_win,0.5726,0.2452,0.1822,1.67,3.9,5.25,,,,-0.0437,0.0,0.0,0,0,0.0,0,home_win,implied 57% >= 40%,10000.0,H,False,0,0,1000000.0,6700.0,996700.0
3.0,2024-11-22,2024-11-23,2024-11-10,La Liga,SP1,Ath Madrid vs Alaves,Ath Madrid,Alaves,home_win,0.6957,0.1992,0.1051,1.36,4.75,9.0,,,,-0.0539,0.0,0.0,0,0,0.0,0,home_win,implied 70% >= 40%,10000.0,H,False,0,0,1000000.0,3600.0,1000300.0
4.0,2024-11-22,2024-11-24,2024-11-10,La Liga,SP1,Ath Bilbao vs Sociedad,Ath Bilbao,Sociedad,home_win,0.4211,0.3158,0.2632,2.25,3.0,3.6,,,,-0.0526,0.0,0.0,0,0,0.0,0,home_win,implied 42% >= 40%,10000.0,H,False,0,0,1000000.0,12500.0,1012800.0
5.0,2024-11-22,2024-11-24,2024-11-10,La Liga,SP1,Leganes vs Real Madrid,Leganes,Real Madrid,away_win,0.1258,0.2097,0.6645,7.5,4.5,1.42,,,,-0.0564,0.0,0.0,0,0,0.0,0,away_win,implied 66% >= 40%,10000.0,A,False,0,0,1000000.0,4200.0,1017000.0
6.0,2024-11-22,2024-11-24,2024-11-10,La Liga,SP1,Sevilla vs Vallecano,Sevilla,Vallecano,home_win,0.414,0.2975,0.2885,2.3,3.2,3.3,,,,-0.0479,0.0,0.0,0,0,0.0,0,home_win,implied 41% >= 40%,10000.0,H,False,0,0,1000000.0,13000.0,1030000.0
7.0,2024-11-29,2024-11-30,2024-11-10,La Liga,SP1,Valladolid vs Ath Madrid,Valladolid,Ath Madrid,away_win,0.1575,0.225,0.6176,6.0,4.2,1.53,,,,-0.0551,0.0,0.0,0,0,0.0,0,away_win,implied 62% >= 40%,10000.0,A,False,0,0,1030000.0,5300.0,1035300.0
8.0,2024-11-29,2024-11-30,2024-11-10,La Liga,SP1,Espanol vs Celta,Espanol,Celta,away_win,0.2881,0.2797,0.4322,3.3,3.4,2.2,,,,-0.0492,0.0,0.0,0,0,0.0,0,away_win,implied 43% >= 40%,10000.0,H,False,0,0,1030000.0,-10000.0,1025300.0
9.0,2024-11-29,2024-11-30,2024-11-10,La Liga,SP1,Barcelona vs Las Palmas,Barcelona,Las Palmas,home_win,0.8146,0.1121,0.0733,1.17,8.5,13.0,,,,-0.047,0.0,0.0,0,0,0.0,0,home_win,implied 81% >= 40%,10000.0,A,False,0,0,1030000.0,-10000.0,1015300.0
10.0,2024-11-29,2024-11-30,2024-11-10,La Liga,SP1,Alaves vs Leganes,Alaves,Leganes,home_win,0.5293,0.2802,0.1905,1.8,3.4,5.0,,,,-0.0473,0.0,0.0,0,0,0.0,0,home_win,implied 53% >= 40%,10000.0,D,False,0,0,1030000.0,-10000.0,1005300.0
11.0,2024-11-29,2024-12-01,2024-11-10,La Liga,SP1,Villarreal vs Girona,Villarreal,Girona,home_win,0.5181,0.2562,0.2257,1.83,3.7,4.2,,,,-0.052,0.0,0.0,0,0,0.0,0,home_win,implied 52% >= 40%,10000.0,D,False,0,0,1030000.0,-10000.0,995300.0
12.0,2024-11-29,2024-12-01,2024-11-10,La Liga,SP1,Real Madrid vs Getafe,Real Madrid,Getafe,home_win,0.6953,0.2101,0.0946,1.36,4.5,10.0,,,,-0.0544,0.0,0.0,0,0,0.0,0,home_win,implied 70% >= 40%,10000.0,H,False,0,0,1030000.0,3600.0,998900.0
13.0,2024-11-29,2024-12-01,2024-11-10,La Liga,SP1,Sociedad vs Betis,Sociedad,Betis,home_win,0.5263,0.2632,0.2105,1.8,3.6,4.5,,,,-0.0526,0.0,0.0,0,0,0.0,0,home_win,implied 53% >= 40%,10000.0,H,False,0,0,1030000.0,8000.0,1006900.0
14.0,2024-11-29,2024-12-02,2024-11-10,La Liga,SP1,Sevilla vs Osasuna,Sevilla,Osasuna,home_win,0.4509,0.2785,0.2706,2.1,3.4,3.5,,,,-0.0531,0.0,0.0,0,0,0.0,0,home_win,implied 45% >= 40%,10000.0,D,False,0,0,1030000.0,-10000.0,996900.0
15.0,2024-11-30,2024-12-03,2024-11-10,La Liga,SP1,Mallorca vs Barcelona,Mallorca,Barcelona,away_win,0.1643,0.2182,0.6175,5.75,4.33,1.53,,,,-0.0552,0.0,0.0,0,0,0.0,0,away_win,implied 62% >= 40%,10000.0,A,False,0,0,1005300.0,5300.0,1002200.0
16.0,2024-12-01,2024-12-04,2024-11-10,La Liga,SP1,Ath Bilbao vs Real Madrid,Ath Bilbao,Real Madrid,away_win,0.2948,0.2859,0.4193,3.2,3.3,2.25,,,,-0.0566,0.0,0.0,0,0,0.0,0,away_win,implied 42% >= 40%,10000.0,H,False,0,0,1006900.0,-10000.0,992200.0
17.0,2024-12-03,2024-12-06,2024-11-10,La Liga,SP1,Celta vs Mallorca,Celta,Mallorca,home_win,0.5114,0.2783,0.2103,1.85,3.4,4.5,,,,-0.0538,0.0,0.0,0,0,0.0,0,home_win,implied 51% >= 40%,10000.0,H,False,0,0,1002200.0,8500.0,1000700.0
18.0,2024-12-04,2024-12-07,2024-11-10,La Liga,SP1,Betis vs Barcelona,Betis,Barcelona,away_win,0.1888,0.2098,0.6014,5.0,4.5,1.57,,,,-0.0559,0.0,0.0,0,0,0.0,0,away_win,implied 60% >= 40%,10000.0,D,False,0,0,992200.0,-10000.0,990700.0
