bet_no,timestamp,kickoff,data_cutoff,league,league_code,match,home,away,prediction,prob_home,prob_draw,prob_away,odds_home,odds_draw,odds_away,sharp_home,sharp_draw,sharp_away,edge,threshold,confidence,rest_home,rest_away,league_roi,league_seen,decision,reason,stake,result,result_known_at_prediction,leak_flag,invalidated,bankroll_before,profit,bankroll_after
,2024-11-22,2024-11-23,2024-11-10,La Liga,SP1,Las Palmas vs Mallorca,Las Palmas,Mallorca,,0.3367,0.3142,0.3491,2.8,3.0,2.7,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 35% < 40%,0.0,,False,0,0,1000000.0,0.0,1000000.0
,2024-11-22,2024-11-23,2024-11-10,La Liga,SP1,Valencia vs Betis,Valencia,Betis,,0.3171,0.3171,0.3659,3.0,3.0,2.6,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 37% < 40%,0.0,,False,0,0,1000000.0,0.0,1000000.0
,2024-11-22,2024-11-24,2024-11-10,La Liga,SP1,Osasuna vs Villarreal,Osasuna,Villarreal,,0.3735,0.2801,0.3463,2.55,3.4,2.75,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 37% < 40%,0.0,,False,0,0,1000000.0,0.0,1000000.0
,2024-11-29,2024-12-01,2024-11-10,La Liga,SP1,Vallecano vs Ath Bilbao,Vallecano,Ath Bilbao,,0.3401,0.3072,0.3527,2.8,3.1,2.7,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 35% < 40%,0.0,,False,0,0,1030000.0,0.0,1030000.0
,2024-12-13,2024-12-14,2024-11-10,Premier League,E0,Nott'm Forest vs Aston Villa,Nott'm Forest,Aston Villa,,0.3609,0.2876,0.3515,2.63,3.3,2.7,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 36% < 40%,0.0,,False,0,0,999000.0,0.0,999000.0
,2024-12-13,2024-12-14,2024-11-10,La Liga,SP1,Espanol vs Osasuna,Espanol,Osasuna,,0.3428,0.2946,0.3626,2.75,3.2,2.6,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 36% < 40%,0.0,,False,0,0,999000.0,0.0,999000.0
,2024-12-15,2024-12-18,2024-11-10,La Liga,SP1,Espanol vs Valencia,Espanol,Valencia,,0.3659,0.3171,0.3171,2.6,3.0,3.0,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 37% < 40%,0.0,,False,0,0,941000.0,0.0,941000.0
,2024-12-18,2024-12-21,2024-11-10,La Liga,SP1,Celta vs Sociedad,Celta,Sociedad,,0.3278,0.3066,0.3656,2.9,3.1,2.6,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 37% < 40%,0.0,,False,0,0,921000.0,0.0,921000.0
,2024-12-20,2024-12-22,2024-11-10,Premier League,E0,Leicester vs Wolves,Leicester,Wolves,,0.3711,0.2784,0.3505,2.55,3.4,2.7,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 37% < 40%,0.0,,False,0,0,924800.0,0.0,924800.0
,2024-12-26,2024-12-29,2024-11-10,Premier League,E0,Everton vs Nott'm Forest,Everton,Nott'm Forest,,0.3648,0.2964,0.3388,2.6,3.2,2.8,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 36% < 40%,0.0,,False,0,0,876800.0,0.0,876800.0
,2024-12-27,2024-12-30,2024-11-10,Premier League,E0,Man United vs Newcastle,Man United,Newcastle,,0.3491,0.2743,0.3765,2.75,3.5,2.55,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 38% < 40%,0.0,,False,0,0,868200.0,0.0,868200.0
,2025-01-01,2025-01-04,2024-11-10,Premier League,E0,Southampton vs Brentford,Southampton,Brentford,,0.3192,0.2817,0.3991,3.0,3.4,2.4,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 40% < 40%,0.0,,False,0,0,845900.0,0.0,845900.0
,2025-01-10,2025-01-11,2024-11-10,La Liga,SP1,Alaves vs Girona,Alaves,Girona,,0.3464,0.3073,0.3464,2.75,3.1,2.75,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 35% < 40%,0.0,,False,0,0,849200.0,0.0,849200.0
,2025-01-10,2025-01-12,2024-11-10,La Liga,SP1,Las Palmas vs Getafe,Las Palmas,Getafe,,0.3865,0.3265,0.287,2.45,2.9,3.3,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 39% < 40%,0.0,,False,0,0,849200.0,0.0,849200.0
,2025-01-15,2025-01-18,2024-11-10,Premier League,E0,West Ham vs Crystal Palace,West Ham,Crystal Palace,,0.3661,0.272,0.3619,2.6,3.5,2.63,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 37% < 40%,0.0,,False,0,0,822200.0,0.0,822200.0
,2025-01-16,2025-01-19,2024-11-10,La Liga,SP1,Valencia vs Sociedad,Valencia,Sociedad,,0.3078,0.318,0.3742,3.1,3.0,2.55,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 37% < 40%,0.0,,False,0,0,834200.0,0.0,834200.0
,2025-01-16,2025-01-19,2024-11-10,La Liga,SP1,Celta vs Ath Bilbao,Celta,Ath Bilbao,,0.3388,0.2964,0.3648,2.8,3.2,2.6,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 36% < 40%,0.0,,False,0,0,834200.0,0.0,834200.0
,2025-01-16,2025-01-19,2024-11-10,Premier League,E0,Everton vs Tottenham,Everton,Tottenham,,0.3398,0.2718,0.3883,2.8,3.5,2.45,,,,0.0,0.0,0.0,0,0,0.0,0,,implied 39% < 40%,0.0,,False,0,0,834200.0,0.0,834200.0
