agent,seed,season,match,kickoff,pick,odds,stake,won,profit,ai_layer
ML-only,42,2425,Parma vs Fiorentina,2024-08-17,away_win,2.2,10000.0,0,-10000.0,
ML-only,42,2425,Parma vs Empoli,2024-10-27,away_win,3.5,10000.0,0,-10000.0,
ML-only,42,2425,Monza vs Parma,2025-03-15,home_win,3.1,10000.0,0,-10000.0,
ML-only,42,2425,Atalanta vs Bologna,2025-04-13,away_win,3.9,10000.0,0,-10000.0,
ML-only,42,2425,Como vs Torino,2025-04-13,away_win,4.1,10000.0,0,-10000.0,
ML-only,42,2425,Torino vs Venezia,2025-05-02,home_win,2.5,10000.0,0,-10000.0,
ML-only,42,2425,Lecce vs Torino,2025-05-18,away_win,4.6,10000.0,0,-10000.0,
ML-only,43,2425,Parma vs Fiorentina,2024-08-17,away_win,2.2,10000.0,0,-10000.0,
ML-only,43,2425,Parma vs Empoli,2024-10-27,away_win,3.5,10000.0,0,-10000.0,
ML-only,43,2425,Cagliari vs Lecce,2025-01-19,away_win,4.1,10000.0,0,-10000.0,
ML-only,43,2425,Monza vs Parma,2025-03-15,home_win,3.1,10000.0,0,-10000.0,
ML-only,43,2425,Atalanta vs Bologna,2025-04-13,away_win,3.9,10000.0,0,-10000.0,
ML-only,43,2425,Como vs Torino,2025-04-13,away_win,4.1,10000.0,0,-10000.0,
ML-only,43,2425,Torino vs Venezia,2025-05-02,home_win,2.5,10000.0,0,-10000.0,
ML-only,43,2425,Lecce vs Torino,2025-05-18,away_win,4.6,10000.0,0,-10000.0,
ML-only,44,2425,Parma vs Fiorentina,2024-08-17,away_win,2.2,10000.0,0,-10000.0,
ML-only,44,2425,Parma vs Empoli,2024-10-27,away_win,3.5,10000.0,0,-10000.0,
ML-only,44,2425,Cagliari vs Lecce,2025-01-19,away_win,4.1,10000.0,0,-10000.0,
ML-only,44,2425,Monza vs Parma,2025-03-15,home_win,3.1,10000.0,0,-10000.0,
ML-only,44,2425,Atalanta vs Bologna,2025-04-13,away_win,3.9,10000.0,0,-10000.0,
ML-only,44,2425,Torino vs Venezia,2025-05-02,home_win,2.5,10000.0,0,-10000.0,
ML-only,44,2425,Lecce vs Torino,2025-05-18,away_win,4.6,10000.0,0,-10000.0,
ML-only,45,2425,Parma vs Fiorentina,2024-08-17,away_win,2.2,10000.0,0,-10000.0,
ML-only,45,2425,Parma vs Empoli,2024-10-27,away_win,3.5,10000.0,0,-10000.0,
ML-only,45,2425,Monza vs Parma,2025-03-15,home_win,3.1,10000.0,0,-10000.0,
ML-only,45,2425,Como vs Torino,2025-04-13,away_win,4.1,10000.0,0,-10000.0,
ML-only,45,2425,Torino vs Venezia,2025-05-02,home_win,2.5,10000.0,0,-10000.0,
ML-only,45,2425,Lecce vs Torino,2025-05-18,away_win,4.6,10000.0,0,-10000.0,
