agent,seed,season,match,kickoff,pick,odds,stake,won,profit,ai_layer
ML-only,42,2425,Leganes vs Las Palmas,2024-08-25,home_win,2.25,10000.0,1,12500.0,
ML-only,42,2425,Villarreal vs Celta,2024-08-26,home_win,1.91,10000.0,1,9100.0,
ML-only,42,2425,Espanol vs Vallecano,2024-08-31,home_win,2.8,10000.0,1,18000.0,
ML-only,42,2425,Leganes vs Mallorca,2024-08-31,home_win,2.5,10000.0,0,-10000.0,
ML-only,42,2425,Osasuna vs Celta,2024-09-01,home_win,2.45,10000.0,1,14500.0,
ML-only,42,2425,Sevilla vs Getafe,2024-09-14,home_win,2.2,10000.0,1,12000.0,
ML-only,42,2425,Betis vs Getafe,2024-09-18,home_win,1.91,10000.0,1,9100.0,
ML-only,42,2425,Girona vs Vallecano,2024-09-25,home_win,1.73,10000.0,0,-10000.0,
ML-only,42,2425,Getafe vs Alaves,2024-09-28,draw,2.88,10000.0,0,-10000.0,
ML-only,42,2425,Ath Bilbao vs Sevilla,2024-09-29,home_win,1.7,10000.0,0,-10000.0,
ML-only,42,2425,Leganes vs Valencia,2024-10-04,home_win,2.9,10000.0,0,-10000.0,
ML-only,42,2425,Espanol vs Mallorca,2024-10-05,away_win,2.55,10000.0,0,-10000.0,
ML-only,42,2425,Las Palmas vs Celta,2024-10-05,home_win,3.1,10000.0,0,-10000.0,
ML-only,42,2425,Sociedad vs Ath Madrid,2024-10-06,away_win,2.3,10000.0,0,-10000.0,
ML-only,42,2425,Girona vs Sociedad,2024-10-19,home_win,2.4,9280.0,0,-9280.0,
ML-only,43,2425,Leganes vs Las Palmas,2024-08-25,home_win,2.25,10000.0,1,12500.0,
ML-only,43,2425,Villarreal vs Celta,2024-08-26,home_win,1.91,10000.0,1,9100.0,
ML-only,43,2425,Espanol vs Vallecano,2024-08-31,home_win,2.8,10000.0,1,18000.0,
ML-only,43,2425,Leganes vs Mallorca,2024-08-31,home_win,2.5,10000.0,0,-10000.0,
ML-only,43,2425,Sevilla vs Getafe,2024-09-14,home_win,2.2,10000.0,1,12000.0,
ML-only,43,2425,Betis vs Getafe,2024-09-18,home_win,1.91,10000.0,1,9100.0,
ML-only,43,2425,Girona vs Vallecano,2024-09-25,home_win,1.73,10000.0,0,-10000.0,
ML-only,43,2425,Getafe vs Alaves,2024-09-28,draw,2.88,10000.0,0,-10000.0,
ML-only,43,2425,Ath Bilbao vs Sevilla,2024-09-29,home_win,1.7,10000.0,0,-10000.0,
ML-only,43,2425,Ath Madrid vs Real Madrid,2024-09-29,away_win,2.5,10000.0,0,-10000.0,
ML-only,43,2425,Leganes vs Valencia,2024-10-04,home_win,2.9,10000.0,0,-10000.0,
ML-only,43,2425,Las Palmas vs Celta,2024-10-05,home_win,3.1,10000.0,0,-10000.0,
ML-only,43,2425,Sociedad vs Ath Madrid,2024-10-06,away_win,2.3,10000.0,0,-10000.0,
ML-only,43,2425,Girona vs Sociedad,2024-10-19,home_win,2.4,10000.0,0,-10000.0,
ML-only,43,2425,Osasuna vs Betis,2024-10-19,home_win,2.5,5605.0,0,-5605.0,
ML-only,44,2425,Leganes vs Las Palmas,2024-08-25,home_win,2.25,10000.0,1,12500.0,
ML-only,44,2425,Villarreal vs Celta,2024-08-26,home_win,1.91,10000.0,1,9100.0,
ML-only,44,2425,Espanol vs Vallecano,2024-08-31,home_win,2.8,10000.0,1,18000.0,
ML-only,44,2425,Leganes vs Mallorca,2024-08-31,home_win,2.5,10000.0,0,-10000.0,
ML-only,44,2425,Betis vs Getafe,2024-09-18,home_win,1.91,10000.0,1,9100.0,
ML-only,44,2425,Girona vs Vallecano,2024-09-25,home_win,1.73,10000.0,0,-10000.0,
ML-only,44,2425,Getafe vs Alaves,2024-09-28,draw,2.88,10000.0,0,-10000.0,
ML-only,44,2425,Ath Bilbao vs Sevilla,2024-09-29,home_win,1.7,10000.0,0,-10000.0,
ML-only,44,2425,Ath Madrid vs Real Madrid,2024-09-29,away_win,2.5,10000.0,0,-10000.0,
ML-only,44,2425,Leganes vs Valencia,2024-10-04,home_win,2.9,10000.0,0,-10000.0,
ML-only,44,2425,Las Palmas vs Celta,2024-10-05,home_win,3.1,10000.0,0,-10000.0,
ML-only,44,2425,Girona vs Sociedad,2024-10-19,home_win,2.4,10000.0,0,-10000.0,
ML-only,44,2425,Osasuna vs Betis,2024-10-19,home_win,2.5,10000.0,0,-10000.0,
ML-only,44,2425,Espanol vs Sevilla,2024-10-25,home_win,3.0,10000.0,0,-10000.0,
ML-only,44,2425,Betis vs Celta,2024-11-10,home_win,1.95,2305.0,0,-2305.0,
ML-only,45,2425,Leganes vs Las Palmas,2024-08-25,home_win,2.25,10000.0,1,12500.0,
ML-only,45,2425,Villarreal vs Celta,2024-08-26,home_win,1.91,10000.0,1,9100.0,
ML-only,45,2425,Espanol vs Vallecano,2024-08-31,home_win,2.8,10000.0,1,18000.0,
ML-only,45,2425,Leganes vs Mallorca,2024-08-31,home_win,2.5,10000.0,0,-10000.0,
ML-only,45,2425,Osasuna vs Celta,2024-09-01,home_win,2.45,10000.0,1,14500.0,
ML-only,45,2425,Espanol vs Alaves,2024-09-14,home_win,2.63,10000.0,1,16300.0,
