agent,season,seed,roi_pct,unit_roi_pct,n_bets,n_wins,strike_rate,total_staked,final_bankroll,ai_vetoes,ai_passes,ai_upscales,pooled_unit_roi_pct,ci95_lo,ci95_hi,pooled_net_unit_roi_pct,ci95_net_lo,ci95_net_hi,mean_clv_pct,clv_ci95_lo,clv_ci95_hi,commission,slippage
ML-only,2425,42,-1.4079999999999981,-9.431939978563772,15,6,0.4,149280.0,985920.0,0,0,0,-16.550255052053373,-39.974684091861604,8.636549123605922,-17.486014803764782,-40.6323078382632,7.435895244976458,-1.039829268292683,-2.7205768292682926,0.5706286585365852,0.02,0.0
ML-only,2425,43,-3.4904999999999964,-23.97239105799938,15,5,0.3333333333333333,145605.0,965095.0,0,0,0,-16.550255052053373,-39.974684091861604,8.636549123605922,-17.486014803764782,-40.6323078382632,7.435895244976458,-1.039829268292683,-2.7205768292682926,0.5706286585365852,0.02,0.0
ML-only,2425,44,-5.360500000000002,-37.66909103685745,15,4,0.26666666666666666,142305.0,946395.0,0,0,0,-16.550255052053373,-39.974684091861604,8.636549123605922,-17.486014803764782,-40.6323078382632,7.435895244976458,-1.039829268292683,-2.7205768292682926,0.5706286585365852,0.02,0.0
ML-only,2425,45,1.3430000000000053,8.81407101135394,16,7,0.4375,152370.0,1013430.0,0,0,0,-16.550255052053373,-39.974684091861604,8.636549123605922,-17.486014803764782,-40.6323078382632,7.435895244976458,-1.039829268292683,-2.7205768292682926,0.5706286585365852,0.02,0.0
ML-only,2425,46,0.8245000000000058,5.443861212901522,16,7,0.4375,151455.0,1008245.0,0,0,0,-16.550255052053373,-39.974684091861604,8.636549123605922,-17.486014803764782,-40.6323078382632,7.435895244976458,-1.039829268292683,-2.7205768292682926,0.5706286585365852,0.02,0.0
ML-only,2526,42,-1.0000000000000009,-100.0,1,0,0.0,10000.0,990000.0,0,0,0,-16.550255052053373,-39.974684091861604,8.636549123605922,-17.486014803764782,-40.6323078382632,7.435895244976458,-1.039829268292683,-2.7205768292682926,0.5706286585365852,0.02,0.0
ML-only,2526,43,-1.0000000000000009,-100.0,1,0,0.0,10000.0,990000.0,0,0,0,-16.550255052053373,-39.974684091861604,8.636549123605922,-17.486014803764782,-40.6323078382632,7.435895244976458,-1.039829268292683,-2.7205768292682926,0.5706286585365852,0.02,0.0
ML-only,2526,44,-1.0000000000000009,-100.0,1,0,0.0,10000.0,990000.0,0,0,0,-16.550255052053373,-39.974684091861604,8.636549123605922,-17.486014803764782,-40.6323078382632,7.435895244976458,-1.039829268292683,-2.7205768292682926,0.5706286585365852,0.02,0.0
ML-only,2526,45,-1.0000000000000009,-100.0,1,0,0.0,10000.0,990000.0,0,0,0,-16.550255052053373,-39.974684091861604,8.636549123605922,-17.486014803764782,-40.6323078382632,7.435895244976458,-1.039829268292683,-2.7205768292682926,0.5706286585365852,0.02,0.0
ML-only,2526,46,-1.0000000000000009,-100.0,1,0,0.0,10000.0,990000.0,0,0,0,-16.550255052053373,-39.974684091861604,8.636549123605922,-17.486014803764782,-40.6323078382632,7.435895244976458,-1.039829268292683,-2.7205768292682926,0.5706286585365852,0.02,0.0
AI+ML,2425,42,-0.5035663999999995,-13.576083577746974,7,2,0.2857142857142857,37092.17,994964.336,42,7,0,-14.673351201148629,-43.967059900294835,18.90927792289832,-15.685549921809638,-44.620582600690874,17.485576508056287,0.8080303030303033,-0.45913522727272715,2.1993628787878783,0.02,0.0
AI+ML,2425,43,-0.3420664000000073,-8.68802506948463,8,3,0.375,39372.17,996579.3359999999,56,8,0,-14.673351201148629,-43.967059900294835,18.90927792289832,-15.685549921809638,-44.620582600690874,17.485576508056287,0.8080303030303033,-0.45913522727272715,2.1993628787878783,0.02,0.0
AI+ML,2425,44,-0.43442639999999866,-11.189586280917188,8,3,0.375,38824.17,995655.736,52,8,0,-14.673351201148629,-43.967059900294835,18.90927792289832,-15.685549921809638,-44.620582600690874,17.485576508056287,0.8080303030303033,-0.45913522727272715,2.1993628787878783,0.02,0.0
AI+ML,2425,45,-0.7257663999999941,-19.84477267824138,7,2,0.2857142857142857,36572.17,992742.336,50,7,0,-14.673351201148629,-43.967059900294835,18.90927792289832,-15.685549921809638,-44.620582600690874,17.485576508056287,0.8080303030303033,-0.45913522727272715,2.1993628787878783,0.02,0.0
AI+ML,2425,46,-0.41370640000000236,-10.801685736642979,8,3,0.375,38300.17,995862.936,52,8,0,-14.673351201148629,-43.967059900294835,18.90927792289832,-15.685549921809638,-44.620582600690874,17.485576508056287,0.8080303030303033,-0.45913522727272715,2.1993628787878783,0.02,0.0
