date,match,market,my_odds,closing_odds,stake,edge_pct,model,staking,bet_outcome,profit_loss,clv_pct,running_bankroll
2025-03-19,Brighton vs Liverpool,home_win,2.85,2.81,24.81,18.36,PoissonElo,Fractional-Kelly,Win,45.9,-1.4,1045.9
2025-03-23,Newcastle vs Liverpool,home_win,2.4,2.41,41.8,22.38,PoissonElo,Fractional-Kelly,Lose,-41.8,0.42,1004.1
2025-03-24,Newcastle vs Liverpool,home_win,2.41,2.42,40.75,22.89,PoissonElo,Fractional-Kelly,Win,57.46,0.41,1061.56
2025-03-25,Chelsea vs Liverpool,home_win,1.88,1.88,30.55,10.13,PoissonElo,Fractional-Kelly,Win,26.88,0.0,1088.44
2025-04-02,Newcastle vs Aston Villa,home_win,1.92,1.89,26.94,9.11,PoissonElo,Fractional-Kelly,Lose,-26.94,-1.56,1061.5
2025-04-15,Brighton vs Liverpool,home_win,2.86,2.79,26.79,18.78,PoissonElo,Fractional-Kelly,Lose,-26.79,-2.45,1034.71
2025-04-25,Arsenal vs Chelsea,home_win,2.39,2.42,22.46,12.07,PoissonElo,Fractional-Kelly,Win,31.22,1.26,1065.93
2025-04-28,Arsenal vs Liverpool,home_win,2.21,2.3,46.14,20.95,PoissonElo,Fractional-Kelly,Lose,-46.14,4.07,1019.79
2025-05-03,Arsenal vs Aston Villa,home_win,1.86,1.83,37.59,12.68,PoissonElo,Fractional-Kelly,Lose,-37.59,-1.61,982.2
2025-05-12,Brighton vs Aston Villa,home_win,2.21,2.19,8.48,4.18,PoissonElo,Fractional-Kelly,Win,10.26,-0.9,992.46
2025-05-14,Arsenal vs Chelsea,home_win,2.45,2.47,25.46,14.88,PoissonElo,Fractional-Kelly,Lose,-25.46,0.82,967.0
2025-05-17,Brighton vs Liverpool,home_win,2.78,2.78,20.98,15.45,PoissonElo,Fractional-Kelly,Win,37.34,0.0,1004.34
2025-05-31,Arsenal vs Chelsea,home_win,2.41,2.43,23.15,13.0,PoissonElo,Fractional-Kelly,Lose,-23.15,0.83,981.19
2025-06-16,Newcastle vs Liverpool,home_win,2.48,2.46,43.86,26.46,PoissonElo,Fractional-Kelly,Lose,-43.86,-0.81,937.33
2025-06-18,Brighton vs Liverpool,home_win,2.81,2.84,21.62,16.7,PoissonElo,Fractional-Kelly,Lose,-21.62,1.07,915.71
2025-07-11,Arsenal vs Aston Villa,home_win,1.86,1.84,33.75,12.68,PoissonElo,Fractional-Kelly,Win,29.03,-1.08,944.74
2025-07-14,Arsenal vs Liverpool,home_win,2.29,2.29,46.38,25.33,PoissonElo,Fractional-Kelly,Lose,-46.38,0.0,898.36
2025-07-26,Newcastle vs Liverpool,home_win,2.42,2.42,37.01,23.4,PoissonElo,Fractional-Kelly,Lose,-37.01,0.0,861.35
2025-08-03,Brighton vs Aston Villa,home_win,2.24,2.2,9.71,5.59,PoissonElo,Fractional-Kelly,Win,12.04,-1.79,873.39
2025-08-16,Newcastle vs Aston Villa,home_win,1.89,1.9,18.18,7.41,PoissonElo,Fractional-Kelly,Win,16.18,0.53,889.57
2025-08-17,Brighton vs Liverpool,home_win,2.8,2.8,20.11,16.28,PoissonElo,Fractional-Kelly,Lose,-20.11,0.0,869.46
2025-09-08,Chelsea vs Liverpool,home_win,1.87,1.91,23.84,9.54,PoissonElo,Fractional-Kelly,Win,20.74,2.14,890.2
2025-09-25,Newcastle vs Aston Villa,home_win,1.88,1.9,17.3,6.84,PoissonElo,Fractional-Kelly,Lose,-17.3,1.06,872.9
2025-10-13,Arsenal vs Aston Villa,home_win,1.82,1.82,27.3,10.26,PoissonElo,Fractional-Kelly,Win,22.39,0.0,895.29
2025-10-28,Newcastle vs Chelsea,home_win,2.65,2.62,19.93,14.69,PoissonElo,Fractional-Kelly,Lose,-19.93,-1.13,875.36
2025-11-10,Brighton vs Liverpool,home_win,2.77,2.78,18.6,15.04,PoissonElo,Fractional-Kelly,Lose,-18.6,0.36,856.76
