date,match,market,my_odds,closing_odds,stake,edge_pct,model,staking,bet_outcome,profit_loss,clv_pct,running_bankroll
2025-03-23,Newcastle vs Liverpool,home_win,2.4,2.41,36.05,20.19,PoissonElo+ML,RL+Q-Learning,Lose,-36.05,0.42,963.95
2025-03-24,Newcastle vs Liverpool,home_win,2.41,2.42,35.36,20.69,PoissonElo+ML,RL+Q-Learning,Win,49.86,0.41,1013.81
2025-03-25,Chelsea vs Liverpool,home_win,1.88,1.88,29.44,10.22,PoissonElo+ML,RL+Q-Learning,Win,25.91,0.0,1039.72
2025-04-02,Newcastle vs Aston Villa,home_win,1.92,1.89,28.37,10.04,PoissonElo+ML,RL+Q-Learning,Lose,-28.37,-1.56,1011.35
2025-04-25,Arsenal vs Chelsea,home_win,2.39,2.42,45.24,16.58,PoissonElo+ML,RL+Q-Learning,Win,62.88,1.26,1074.23
2025-04-28,Arsenal vs Liverpool,home_win,2.21,2.3,51.8,23.34,PoissonElo+ML,RL+Q-Learning,Lose,-51.8,4.07,1022.43
2025-05-02,Arsenal vs Newcastle,home_win,1.94,1.93,24.96,6.12,PoissonElo+ML,RL+Q-Learning,Win,23.46,-0.52,1045.89
2025-05-03,Arsenal vs Aston Villa,home_win,1.86,1.83,45.51,14.97,PoissonElo+ML,RL+Q-Learning,Lose,-45.51,-1.61,1000.38
2025-05-12,Brighton vs Aston Villa,home_win,2.21,2.19,19.25,6.21,PoissonElo+ML,RL+Q-Learning,Win,23.29,-0.9,1023.67
2025-05-14,Arsenal vs Chelsea,home_win,2.45,2.47,51.65,19.51,PoissonElo+ML,RL+Q-Learning,Lose,-51.65,0.82,972.02
2025-05-31,Arsenal vs Chelsea,home_win,2.41,2.43,45.4,17.56,PoissonElo+ML,RL+Q-Learning,Lose,-45.4,0.83,926.62
2025-06-16,Newcastle vs Liverpool,home_win,2.48,2.46,37.88,24.2,PoissonElo+ML,RL+Q-Learning,Lose,-37.88,-0.81,888.74
2025-07-11,Arsenal vs Aston Villa,home_win,1.86,1.84,38.68,14.97,PoissonElo+ML,RL+Q-Learning,Win,33.26,-1.08,922.0
2025-07-14,Arsenal vs Liverpool,home_win,2.29,2.29,49.67,27.8,PoissonElo+ML,RL+Q-Learning,Lose,-49.67,0.0,872.33
2025-07-26,Newcastle vs Liverpool,home_win,2.42,2.42,32.54,21.19,PoissonElo+ML,RL+Q-Learning,Lose,-32.54,0.0,839.79
2025-08-03,Brighton vs Aston Villa,home_win,2.24,2.2,12.95,7.65,PoissonElo+ML,RL+Q-Learning,Win,16.06,-1.79,855.85
2025-08-16,Newcastle vs Aston Villa,home_win,1.89,1.9,20.0,8.32,PoissonElo+ML,RL+Q-Learning,Win,17.8,0.53,873.65
2025-08-18,Brighton vs Aston Villa,home_win,2.19,2.2,9.64,5.25,PoissonElo+ML,RL+Q-Learning,Lose,-9.64,0.46,864.01
2025-09-08,Chelsea vs Liverpool,home_win,1.87,1.91,23.93,9.64,PoissonElo+ML,RL+Q-Learning,Win,20.82,2.14,884.83
2025-09-25,Newcastle vs Aston Villa,home_win,1.88,1.9,19.46,7.74,PoissonElo+ML,RL+Q-Learning,Lose,-19.46,1.06,865.37
2025-10-03,Arsenal vs Newcastle,home_win,1.9,1.93,9.45,3.93,PoissonElo+ML,RL+Q-Learning,Win,8.5,1.58,873.87
2025-10-13,Arsenal vs Aston Villa,home_win,1.82,1.82,33.28,12.49,PoissonElo+ML,RL+Q-Learning,Win,27.29,0.0,901.16
2025-10-28,Newcastle vs Chelsea,home_win,2.65,2.62,31.6,15.43,PoissonElo+ML,RL+Q-Learning,Lose,-31.6,-1.13,869.56
