date,match,score,pick,p_model,stake,odds,won,pl,bankroll_after,result,reason,bucket,agent
2026-08-21,Arsenal vs Coventry,3-0,,,0.0,,False,0.0,1000000.0,home_win,prob 20% < floor 40%,ML: prob below floor,ML-only
2026-08-22,Hull vs Man United,2-0,,,0.0,,False,0.0,1000000.0,home_win,prob 28% < floor 40%,ML: prob below floor,ML-only
2026-08-22,Everton vs Crystal Palace,2-0,,,0.0,,False,0.0,1000000.0,home_win,no edge,ML: no edge vs market,ML-only
2026-08-22,Ipswich vs Sunderland,2-1,away_win,0.5039,10000.0,2.63,False,-10000.0,990000.0,home_win,edge +32.5% > +4.5% (league penalty +1.5%),BET PLACED,ML-only
2026-08-22,Nott'm Forest vs Leeds,0-1,,,0.0,,False,0.0,990000.0,away_win,no edge,ML: no edge vs market,ML-only
2026-08-22,Brentford vs Tottenham,3-0,,,0.0,,False,0.0,990000.0,home_win,no edge,ML: no edge vs market,ML-only
2026-08-23,Brighton vs Aston Villa,4-0,,,0.0,,False,0.0,990000.0,home_win,no positive edge,ML: no edge vs market,ML-only
2026-08-23,Man City vs Bournemouth,2-1,,,0.0,,False,0.0,990000.0,home_win,no edge,ML: no edge vs market,ML-only
2026-08-23,Newcastle vs Liverpool,2-2,,,0.0,,False,0.0,990000.0,draw,no edge,ML: no edge vs market,ML-only
2026-08-24,Fulham vs Chelsea,2-3,,,0.0,,False,0.0,990000.0,away_win,no edge,ML: no edge vs market,ML-only
2026-08-28,Crystal Palace vs Man City,1-4,,,0.0,,False,0.0,990000.0,away_win,no edge,ML: no edge vs market,ML-only
2026-08-29,Coventry vs Hull,0-1,,,0.0,,False,0.0,990000.0,away_win,no edge,ML: no edge vs market,ML-only
2026-08-29,Tottenham vs Newcastle,0-2,,,0.0,,False,0.0,990000.0,away_win,no edge,ML: no edge vs market,ML-only
2026-08-29,Liverpool vs Nott'm Forest,2-2,,,0.0,,False,0.0,990000.0,draw,no edge,ML: no edge vs market,ML-only
2026-08-29,Bournemouth vs Everton,1-1,,,0.0,,False,0.0,990000.0,draw,no edge,ML: no edge vs market,ML-only
2026-08-30,Chelsea vs Brighton,4-3,,,0.0,,False,0.0,990000.0,home_win,no edge,ML: no edge vs market,ML-only
2026-08-30,Leeds vs Brentford,1-1,,,0.0,,False,0.0,990000.0,draw,no edge,ML: no edge vs market,ML-only
2026-08-30,Sunderland vs Fulham,1-0,,,0.0,,False,0.0,990000.0,home_win,no edge,ML: no edge vs market,ML-only
2026-08-30,Man United vs Ipswich,5-2,,,0.0,,False,0.0,990000.0,home_win,no edge,ML: no edge vs market,ML-only
