date,tournament,round,surface,match,wrank,lrank,prob_winner,odds_winner,odds_loser,pin_winner,pin_loser,edge,confidence,decision,reason,stake,result,leak_flag,invalidated,data_cutoff,bankroll_before,profit,bankroll_after
2023-12-31,Brisbane International,1st Round,Hard,Popyrin A. vs O Connell C.,40,68.0,0.5621,1.62,2.3,1.72,2.23,0.0,0.124,,no-bet baseline,0.0,,0,0,2023-11-19,1000000.0,0.0,1000000.0
2023-12-31,Brisbane International,1st Round,Hard,Shevchenko A. vs Van Assche L.,48,90.0,0.6769,1.62,2.3,1.78,2.14,0.0,0.354,,no-bet baseline,0.0,,0,0,2023-11-19,1000000.0,0.0,1000000.0
2024-01-01,Brisbane International,1st Round,Hard,Rune H. vs Purcell M.,8,45.0,0.8385,1.25,4.0,1.32,3.68,0.0,0.677,,no-bet baseline,0.0,,0,0,2023-12-31,1000000.0,0.0,1000000.0
2024-01-01,Brisbane International,1st Round,Hard,Safiullin R. vs Shelton B.,39,17.0,0.3635,2.3,1.62,2.31,1.68,0.0,0.273,,no-bet baseline,0.0,,0,0,2023-12-31,1000000.0,0.0,1000000.0
2024-01-01,Hong Kong Tennis Open,1st Round,Hard,Shang J. vs Djere L.,183,33.0,0.263,2.3,1.62,2.07,1.83,0.0,0.474,,no-bet baseline,0.0,,0,0,2023-12-31,1000000.0,0.0,1000000.0
2024-01-01,Brisbane International,1st Round,Hard,Dimitrov G. vs Murray A.,14,42.0,0.8878,1.33,3.4,1.35,3.47,0.0,0.776,,no-bet baseline,0.0,,0,0,2023-12-31,1000000.0,0.0,1000000.0
2024-01-01,Hong Kong Tennis Open,1st Round,Hard,Van De Zandschulp B. vs Mochizuki S.,50,137.0,0.6711,1.3,3.5,1.28,4.06,0.0,0.342,,no-bet baseline,0.0,,0,0,2023-12-31,1000000.0,0.0,1000000.0
2024-01-01,Hong Kong Tennis Open,1st Round,Hard,Ruusuvuori E. vs Bonzi B.,69,73.0,0.634,1.62,2.3,1.58,2.53,0.0,0.268,,no-bet baseline,0.0,,0,0,2023-12-31,1000000.0,0.0,1000000.0
2024-01-01,Hong Kong Tennis Open,1st Round,Hard,Kotov P. vs Borges N.,67,66.0,0.7331,2.0,1.8,2.01,1.88,0.0,0.466,,no-bet baseline,0.0,,0,0,2023-12-31,1000000.0,0.0,1000000.0
2024-01-02,Brisbane International,1st Round,Hard,Kubler J. vs Karatsev A.,102,35.0,0.2754,2.75,1.44,2.6,1.55,0.0,0.449,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Brisbane International,1st Round,Hard,Hijikata R. vs Kokkinakis T.,71,65.0,0.4171,2.63,1.5,2.71,1.52,0.0,0.166,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Brisbane International,1st Round,Hard,Hanfmann Y. vs Korda S.,51,24.0,0.1788,4.5,1.2,4.54,1.25,0.0,0.642,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Brisbane International,1st Round,Hard,Duckworth J. vs Wolf J.J.,116,53.0,0.345,2.38,1.57,2.21,1.74,0.0,0.31,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Brisbane International,1st Round,Hard,Altmaier D. vs Tu L.,56,225.0,0.549,1.57,2.38,1.64,2.39,0.0,0.098,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Brisbane International,1st Round,Hard,Machac T. vs Etcheverry T.,78,30.0,0.4052,1.36,3.2,1.4,3.17,0.0,0.19,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Brisbane International,1st Round,Hard,Thompson J. vs Vukic A.,55,62.0,0.579,1.57,2.38,1.56,2.58,0.0,0.158,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Brisbane International,1st Round,Hard,Nadal R. vs Thiem D.,672,98.0,0.8392,1.62,2.3,1.6,2.48,0.0,0.678,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Brisbane International,1st Round,Hard,Arnaldi M. vs Fucsovics M.,44,59.0,0.5037,1.91,1.91,2.05,1.85,0.0,0.007,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Hong Kong Tennis Open,1st Round,Hard,Fils A. vs Gojo B.,36,72.0,0.5822,1.53,2.5,1.6,2.47,0.0,0.164,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Hong Kong Tennis Open,1st Round,Hard,Huesler M.A. vs Sachko V.,194,169.0,0.4659,1.53,2.5,1.53,2.67,0.0,0.068,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Hong Kong Tennis Open,1st Round,Hard,Bautista Agut R. vs Marozsan F.,57,64.0,0.4422,1.62,2.3,1.64,2.39,0.0,0.116,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Hong Kong Tennis Open,1st Round,Hard,Struff J.L. vs Cilic M.,25,674.0,0.3434,1.53,2.5,1.6,2.47,0.0,0.313,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Hong Kong Tennis Open,1st Round,Hard,Ofner S. vs Mcdonald M.,43,41.0,0.3815,2.75,1.44,2.72,1.51,0.0,0.237,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Hong Kong Tennis Open,1st Round,Hard,Broady L. vs Cachin P.,108,70.0,0.5669,1.36,3.2,1.42,3.06,0.0,0.134,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Hong Kong Tennis Open,1st Round,Hard,Kecmanovic M. vs Daniel T.,54,75.0,0.548,1.57,2.38,1.56,2.57,0.0,0.096,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Brisbane International,1st Round,Hard,Klein L. vs Baez S.,170,28.0,0.3146,2.0,1.8,2.02,1.88,0.0,0.371,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-02,Hong Kong Tennis Open,1st Round,Hard,Musetti L. vs Wong C.,27,253.0,0.7041,1.2,4.5,1.24,4.45,0.0,0.408,,no-bet baseline,0.0,,0,0,2024-01-01,1000000.0,0.0,1000000.0
2024-01-03,Hong Kong Tennis Open,2nd Round,Hard,Ruusuvuori E. vs Khachanov K.,69,15.0,0.3625,2.2,1.67,2.32,1.68,0.0,0.275,,no-bet baseline,0.0,,0,0,2024-01-02,1000000.0,0.0,1000000.0
2024-01-03,Brisbane International,2nd Round,Hard,Rune H. vs Shevchenko A.,8,48.0,0.7076,1.29,3.75,1.33,3.68,0.0,0.415,,no-bet baseline,0.0,,0,0,2024-01-02,1000000.0,0.0,1000000.0
2024-01-03,Brisbane International,2nd Round,Hard,Safiullin R. vs Popyrin A.,39,40.0,0.6653,1.53,2.5,1.53,2.68,0.0,0.331,,no-bet baseline,0.0,,0,0,2024-01-02,1000000.0,0.0,1000000.0
2024-01-03,Brisbane International,2nd Round,Hard,Arnaldi M. vs Klein L.,44,170.0,0.7171,1.53,2.5,1.61,2.49,0.0,0.434,,no-bet baseline,0.0,,0,0,2024-01-02,1000000.0,0.0,1000000.0
2024-01-03,Hong Kong Tennis Open,2nd Round,Hard,Tiafoe F. vs Kecmanovic M.,16,54.0,0.6667,1.8,2.0,1.82,2.08,0.0,0.333,,no-bet baseline,0.0,,0,0,2024-01-02,1000000.0,0.0,1000000.0
2024-01-03,Brisbane International,1st Round,Hard,Humbert U. vs Michelsen A.,20,97.0,0.8463,1.4,3.0,1.44,2.97,0.0,0.693,,no-bet baseline,0.0,,0,0,2024-01-02,1000000.0,0.0,1000000.0
2024-01-03,Hong Kong Tennis Open,2nd Round,Hard,Kotov P. vs Musetti L.,67,27.0,0.4688,2.1,1.73,2.37,1.65,0.0,0.062,,no-bet baseline,0.0,,0,0,2024-01-02,1000000.0,0.0,1000000.0
2024-01-03,Hong Kong Tennis Open,2nd Round,Hard,Shang J. vs Van De Zandschulp B.,183,50.0,0.3143,2.3,1.62,2.6,1.55,0.0,0.371,,no-bet baseline,0.0,,0,0,2024-01-02,1000000.0,0.0,1000000.0
2024-01-03,Brisbane International,2nd Round,Hard,Duckworth J. vs Hanfmann Y.,116,51.0,0.449,1.91,1.91,1.93,1.98,0.0,0.102,,no-bet baseline,0.0,,0,0,2024-01-02,1000000.0,0.0,1000000.0
2024-01-04,Hong Kong Tennis Open,2nd Round,Hard,Fils A. vs Huesler M.A.,36,194.0,0.7511,1.4,3.0,1.44,3.02,0.0,0.502,,no-bet baseline,0.0,,0,0,2024-01-03,1000000.0,0.0,1000000.0
2024-01-04,Brisbane International,2nd Round,Hard,Nadal R. vs Kubler J.,672,102.0,0.9176,1.14,5.5,1.17,5.93,0.0,0.835,,no-bet baseline,0.0,,0,0,2024-01-03,1000000.0,0.0,1000000.0
2024-01-04,Hong Kong Tennis Open,2nd Round,Hard,Bautista Agut R. vs Cerundolo F.,57,21.0,0.3933,1.4,3.0,1.47,2.9,0.0,0.213,,no-bet baseline,0.0,,0,0,2024-01-03,1000000.0,0.0,1000000.0
