date,tournament,round,surface,winner,loser,wrank,lrank,odds_winner,odds_loser,pin_winner,pin_loser,max_winner,max_loser
2022-01-03,Adelaide International 1,1st Round,Hard,Kwon S.W.,Nishioka Y.,53,81.0,1.61,2.3,1.7,2.26,1.76,2.5
2022-01-03,Adelaide International 1,1st Round,Hard,Monteiro T.,Altmaier D.,89,84.0,2.3,1.61,2.49,1.6,2.6,1.62
2022-01-03,Adelaide International 1,1st Round,Hard,Djere L.,Carballes Baena R.,52,79.0,1.66,2.2,1.81,2.1,1.83,2.26
2022-01-03,Adelaide International 1,1st Round,Hard,Johnson S.,Vukic A.,85,156.0,2.0,1.8,2.21,1.74,2.3,1.8
2022-01-04,Melbourne Summer Set,1st Round,Hard,Mcdonald M.,Gojowczyk P.,55,86.0,1.36,3.2,1.4,3.2,1.44,3.24
2022-01-04,Melbourne Summer Set,1st Round,Hard,Griekspoor T.,Koepfer D.,65,54.0,1.61,2.3,1.54,2.62,1.62,2.65
2022-01-04,Melbourne Summer Set,1st Round,Hard,Van De Zandschulp B.,Mannarino A.,57,71.0,1.44,2.75,1.5,2.77,1.53,3.1
2022-01-04,Adelaide International 1,1st Round,Hard,Mager G.,Cerundolo F.,62,127.0,2.0,1.8,1.94,1.94,2.0,2.07
2022-01-04,Adelaide International 1,1st Round,Hard,Paul T.,Vesely J.,43,83.0,1.33,3.4,1.35,3.45,1.35,3.6
2022-01-04,Adelaide International 1,1st Round,Hard,Kokkinakis T.,Millman J.,171,72.0,1.72,2.1,1.8,2.11,1.87,2.15
2022-01-04,Adelaide International 1,1st Round,Hard,Ymer M.,Bonzi B.,94,64.0,2.0,1.8,2.15,1.78,2.15,1.82
2022-01-04,Adelaide International 1,1st Round,Hard,Gerasimov E.,Fucsovics M.,113,40.0,2.37,1.57,2.91,1.46,2.91,1.57
2022-01-04,Adelaide International 1,1st Round,Hard,Daniel T.,Musetti L.,125,59.0,2.0,1.8,2.19,1.75,2.25,1.8
2022-01-04,Adelaide International 1,1st Round,Hard,Moutet C.,Rune H.,92,103.0,2.75,1.44,2.66,1.53,2.81,1.54
2022-01-04,Adelaide International 1,1st Round,Hard,Cerundolo J.M.,Bolt A.,90,137.0,2.75,1.44,2.87,1.47,3.32,1.47
2022-01-04,Melbourne Summer Set,1st Round,Hard,Bagnis F.,Murray A.,76,134.0,7.0,1.1,8.72,1.09,8.8,1.11
2022-01-05,Melbourne Summer Set,1st Round,Hard,Munar J.,Anderson K.,77,80.0,2.75,1.44,2.88,1.47,2.98,1.5
2022-01-05,Melbourne Summer Set,1st Round,Hard,Cressy M.,Hijikata R.,112,375.0,1.36,3.2,1.51,2.74,1.53,3.2
2022-01-05,Melbourne Summer Set,1st Round,Hard,Popyrin A.,Travaglia S.,61,78.0,1.5,2.62,1.58,2.53,1.62,2.7
2022-01-05,Melbourne Summer Set,1st Round,Hard,Molcan A.,Seppi A.,88,102.0,1.66,2.2,1.71,2.25,1.76,2.3
2022-01-05,Melbourne Summer Set,1st Round,Hard,Ruusuvuori E.,Baez S.,95,99.0,1.44,2.75,1.52,2.68,1.53,2.89
2022-01-05,Melbourne Summer Set,1st Round,Hard,Thompson J.,O Connell C.,75,175.0,1.9,1.9,1.99,1.9,2.05,1.95
2022-01-05,Melbourne Summer Set,1st Round,Hard,Berankis R.,Giron M.,104,66.0,2.2,1.66,2.35,1.66,2.45,1.7
2022-01-05,Melbourne Summer Set,1st Round,Hard,Laaksonen H.,Paire B.,98,46.0,1.33,3.4,1.37,3.32,1.5,3.58
2022-01-05,Adelaide International 1,2nd Round,Hard,Ymer M.,Kwon S.W.,94,53.0,2.37,1.57,2.33,1.68,2.41,1.71
2022-01-05,Adelaide International 1,2nd Round,Hard,Djere L.,Moutet C.,52,92.0,2.3,1.61,2.31,1.69,2.49,1.72
2022-01-05,Adelaide International 1,2nd Round,Hard,Cilic M.,Monteiro T.,30,89.0,1.3,3.5,1.34,3.6,1.35,3.7
2022-01-05,Adelaide International 1,2nd Round,Hard,Kokkinakis T.,Tiafoe F.,171,38.0,2.3,1.61,2.37,1.66,2.4,1.73
2022-01-06,Melbourne Summer Set,2nd Round,Hard,Cressy M.,Opelka R.,112,26.0,2.2,1.66,2.29,1.7,2.35,1.7
2022-01-06,Melbourne Summer Set,2nd Round,Hard,Griekspoor T.,Popyrin A.,65,61.0,1.8,2.0,1.92,1.99,1.92,2.12
2022-01-06,Melbourne Summer Set,2nd Round,Hard,Munar J.,Laaksonen H.,77,98.0,2.1,1.72,2.24,1.73,2.24,1.82
2022-01-06,Melbourne Summer Set,2nd Round,Hard,Nadal R.,Berankis R.,6,104.0,1.14,5.5,1.16,6.17,1.19,6.17
2022-01-06,Melbourne Summer Set,2nd Round,Hard,Dimitrov G.,Bagnis F.,28,76.0,1.16,5.0,1.18,5.59,1.18,6.0
2022-01-06,Melbourne Summer Set,2nd Round,Hard,Molcan A.,Goffin D.,88,39.0,1.53,2.5,1.66,2.38,1.67,2.62
2022-01-06,Melbourne Summer Set,2nd Round,Hard,Ruusuvuori E.,Thompson J.,95,75.0,1.44,2.75,1.46,2.96,1.48,3.0
