date,match,market,my_odds,closing_odds,stake,edge_pct,model,staking,bet_outcome,profit_loss,clv_pct,running_bankroll
2025-03-18,Aston Villa vs Tottenham,home_win,2.01,1.99,22.38,9.04,PoissonElo+ML,RL+Q-Learning,Win,22.6,-1.0,1022.6
2025-03-21,Liverpool vs Newcastle,home_win,2.49,2.49,52.64,30.68,PoissonElo+ML,RL+Q-Learning,Lose,-52.64,0.0,969.96
2025-03-23,Aston Villa vs Brighton,home_win,4.37,4.31,61.37,85.29,PoissonElo+ML,RL+Q-Learning,Win,206.82,-1.37,1176.78
2025-03-24,Chelsea vs Newcastle,home_win,3.1,3.05,49.56,35.38,PoissonElo+ML,RL+Q-Learning,Lose,-49.56,-1.61,1127.22
2025-03-26,West Ham vs Aston Villa,home_win,2.33,2.37,35.45,16.73,PoissonElo+ML,RL+Q-Learning,Lose,-35.45,1.72,1091.77
2025-03-28,Man City vs Brighton,home_win,3.13,3.18,58.73,45.83,PoissonElo+ML,RL+Q-Learning,Win,125.09,1.6,1216.86
2025-03-29,Arsenal vs Newcastle,home_win,2.31,2.33,74.89,32.25,PoissonElo+ML,RL+Q-Learning,Win,98.11,0.87,1314.97
2025-03-30,Liverpool vs Man Utd,home_win,2.13,2.13,21.64,7.44,PoissonElo+ML,RL+Q-Learning,Win,24.45,0.0,1339.42
2025-03-31,Aston Villa vs Arsenal,home_win,2.57,2.62,65.04,20.33,PoissonElo+ML,RL+Q-Learning,Win,102.11,1.95,1441.53
2025-04-01,Liverpool vs Aston Villa,home_win,2.1,2.13,35.51,10.84,PoissonElo+ML,RL+Q-Learning,Lose,-35.51,1.43,1406.02
2025-04-03,Tottenham vs Arsenal,home_win,3.13,3.1,43.7,26.48,PoissonElo+ML,RL+Q-Learning,Lose,-43.7,-0.96,1362.32
2025-04-05,Arsenal vs Man Utd,home_win,2.0,1.99,65.32,19.18,PoissonElo+ML,RL+Q-Learning,Win,65.32,-0.5,1427.64
2025-04-06,Man City vs Liverpool,home_win,1.92,1.91,71.38,19.16,PoissonElo+ML,RL+Q-Learning,Lose,-71.38,-0.52,1356.26
2025-04-08,Man Utd vs Aston Villa,home_win,2.25,2.24,51.05,18.82,PoissonElo+ML,RL+Q-Learning,Win,63.81,-0.44,1420.07
2025-04-09,Liverpool vs Brighton,home_win,4.02,3.99,86.64,73.7,PoissonElo+ML,RL+Q-Learning,Lose,-86.64,-0.75,1333.43
2025-04-11,Man Utd vs Liverpool,home_win,2.4,2.41,75.29,21.08,PoissonElo+ML,RL+Q-Learning,Win,105.41,0.42,1438.84
2025-04-12,Aston Villa vs Liverpool,home_win,2.45,2.44,92.66,24.9,PoissonElo+ML,RL+Q-Learning,Win,134.36,-0.41,1573.2
2025-04-14,Man Utd vs Aston Villa,home_win,2.19,2.21,51.72,15.65,PoissonElo+ML,RL+Q-Learning,Lose,-51.72,0.91,1521.48
2025-04-15,Aston Villa vs Brighton,home_win,4.16,4.32,91.94,76.38,PoissonElo+ML,RL+Q-Learning,Lose,-91.94,3.85,1429.54
2025-04-19,Aston Villa vs West Ham,home_win,2.21,2.2,40.29,13.64,PoissonElo+ML,RL+Q-Learning,Lose,-40.29,-0.45,1389.25
2025-04-20,Chelsea vs Arsenal,home_win,3.0,3.01,56.55,21.71,PoissonElo+ML,RL+Q-Learning,Lose,-56.55,0.33,1332.7
2025-04-24,Liverpool vs Brighton,home_win,4.09,3.96,82.73,76.73,PoissonElo+ML,RL+Q-Learning,Lose,-82.73,-3.18,1249.97
2025-04-25,Tottenham vs Newcastle,home_win,3.17,3.16,55.57,38.59,PoissonElo+ML,RL+Q-Learning,Lose,-55.57,-0.32,1194.4
2025-04-29,Aston Villa vs Newcastle,home_win,2.73,2.72,75.77,43.9,PoissonElo+ML,RL+Q-Learning,Win,131.08,-0.37,1325.48
2025-05-01,Tottenham vs Arsenal,home_win,3.18,3.15,43.32,28.5,PoissonElo+ML,RL+Q-Learning,Lose,-43.32,-0.94,1282.16
2025-05-03,Man City vs Brighton,home_win,3.1,3.15,67.82,44.43,PoissonElo+ML,RL+Q-Learning,Lose,-67.82,1.61,1214.34
2025-05-06,Aston Villa vs Newcastle,home_win,2.69,2.65,75.07,41.79,PoissonElo+ML,RL+Q-Learning,Win,126.87,-1.49,1341.21
2025-05-07,Man Utd vs Man City,home_win,2.9,2.88,49.73,28.18,PoissonElo+ML,RL+Q-Learning,Win,94.49,-0.69,1435.7
2025-05-08,Man Utd vs Aston Villa,home_win,2.24,2.26,52.94,18.29,PoissonElo+ML,RL+Q-Learning,Lose,-52.94,0.89,1382.76
2025-05-09,Liverpool vs Newcastle,home_win,2.53,2.53,74.04,32.77,PoissonElo+ML,RL+Q-Learning,Lose,-74.04,0.0,1308.72
2025-05-15,Chelsea vs Arsenal,home_win,3.06,3.02,57.51,24.14,PoissonElo+ML,RL+Q-Learning,Lose,-57.51,-1.31,1251.21
2025-05-17,Chelsea vs Arsenal,home_win,3.03,3.04,53.0,22.93,PoissonElo+ML,RL+Q-Learning,Lose,-53.0,0.33,1198.21
2025-05-19,Liverpool vs Brighton,home_win,4.01,3.96,72.92,73.27,PoissonElo+ML,RL+Q-Learning,Lose,-72.92,-1.25,1125.29
2025-05-21,Aston Villa vs Liverpool,home_win,2.42,2.45,69.45,23.37,PoissonElo+ML,RL+Q-Learning,Win,98.62,1.24,1223.91
