date,match,outcome,prob,odds,edge_pct,stake,mode,result,win,profit,clv_pct,bankroll
2022-08-12,Osasuna vs Sevilla,away_win,0.4585,2.4,10.040000000000004,17928.571428571435,aggressive,H,0,-17928.571428571435,-3.2258064516129115,982071.4285714285
2022-08-19,Espanol vs Vallecano,home_win,0.4381,2.45,7.334499999999999,12418.970504926105,aggressive,A,0,-12418.970504926105,-4.296875,969652.4580665025
2022-08-22,Girona vs Getafe,home_win,0.4759,2.8,33.251999999999995,44781.7826883713,aggressive,H,1,80607.20883906833,-1.7543859649122862,1050259.6669055708
2022-08-26,Girona vs Celta,home_win,0.4318,2.8,20.90399999999999,30492.53899582506,aggressive,A,0,-30492.53899582506,-0.3558718861210064,1019767.1279097457
2022-09-09,Girona vs Valladolid,home_win,0.5087,2.25,14.457500000000012,29486.56650351032,aggressive,H,1,36858.2081293879,-2.1739130434782483,1056625.3360391336
2022-09-11,Betis vs Villarreal,home_win,0.4085,2.8,14.379999999999992,21103.1560170038,aggressive,H,1,37985.680830606834,-5.084745762711873,1094611.0168697403
2022-09-12,Almeria vs Osasuna,home_win,0.4081,2.6,6.106000000000011,10443.273232822887,aggressive,A,0,-10443.273232822887,-5.797101449275354,1084167.7436369176
2022-10-01,Getafe vs Valladolid,home_win,0.5039,2.3,15.896999999999984,33144.25888576166,aggressive,A,0,-33144.25888576166,-2.5423728813559365,1051023.4847511558
2022-10-02,Celta vs Betis,away_win,0.4226,2.87,21.286199999999987,29909.486766189893,aggressive,H,0,-29909.486766189893,-3.0405405405405372,1021113.9979849659
2022-10-07,Osasuna vs Valencia,home_win,0.4337,2.4,4.0879999999999805,7454.132185290216,aggressive,A,0,-7454.132185290216,-2.4390243902439046,1013659.8657996757
2022-10-08,Almeria vs Vallecano,home_win,0.4372,2.9,26.78799999999999,35728.84274347592,aggressive,H,1,67884.80121260424,-7.05128205128206,1081544.6670122799
2022-10-08,Sevilla vs Ath Bilbao,home_win,0.4313,3.0,29.390000000000004,39733.24720436364,aggressive,D,0,-39733.24720436364,-3.2258064516129115,1041811.4198079163
2022-10-09,Valladolid vs Betis,away_win,0.4764,2.4,14.335999999999993,26670.372347082648,aggressive,D,0,-26670.372347082648,-4.3824701195219085,1015141.0474608337
2022-10-09,Cadiz vs Espanol,home_win,0.428,2.87,22.836000000000013,30991.65903718664,aggressive,D,0,-30991.65903718664,-4.966887417218535,984149.388423647
2022-10-15,Ath Bilbao vs Ath Madrid,away_win,0.4143,3.0,24.290000000000013,29881.235806013,aggressive,A,1,59762.471612026,-5.3627760252365935,1043911.860035673
2022-10-15,Mallorca vs Sevilla,away_win,0.4102,2.7,10.754000000000019,16509.159033564185,aggressive,A,1,28065.570357059118,-1.4598540145985384,1071977.4303927321
2022-10-18,Sevilla vs Valencia,home_win,0.5143,2.25,15.717500000000006,33697.610524395546,aggressive,D,0,-33697.610524395546,-3.8461538461538436,1038279.8198683365
2022-10-18,Ath Madrid vs Vallecano,home_win,0.6682,1.55,3.571000000000013,16853.169257953832,aggressive,D,0,-16853.169257953832,1.3071895424836555,1021426.6506103827
2022-10-20,Almeria vs Girona,home_win,0.4145,2.6,7.769999999999988,12400.757930066658,aggressive,H,1,19841.212688106654,-3.3457249070631967,1041267.8632984894
