book,season,final,roi,n_bets,wins,strike,avg_odds,avg_edge,max_dd,avg_clv,clv_t,clv_p,survival
b365,2021/22,1010663.6154949138,1.0663615494913792,100,50,0.5,2.2532,21.072244000000005,0.31071702864879513,-2.897302862153324,-12.96038738645439,4.732158939603693e-23,
pinnacle,2021/22,982212.3409155982,-1.778765908440183,110,53,0.4818181818181818,2.303090909090909,23.25924363636363,0.32680575523647304,3.3911535391755847,15.18550186283874,1.1654596412347028e-28,
b365,2022/23,1115256.439066574,11.5256439066574,63,27,0.42857142857142855,2.4165079365079367,17.70150476190476,0.22160923934770865,-2.661413067611878,-10.386259752031103,3.3803048185634828e-15,
pinnacle,2022/23,1255391.168028569,25.5391168028569,72,33,0.4583333333333333,2.4562500000000003,19.07880833333333,0.21275645491121617,3.0144826170946732,12.672297872428366,6.668067368613196e-20,
b365,2023/24,988075.5276972544,-1.1924472302745515,59,26,0.4406779661016949,2.3069491525423733,13.405322033898308,0.2132152588331421,-2.229505777032099,-7.97393172344794,6.772992700196438e-11,
pinnacle,2023/24,1110934.3028251054,11.09343028251053,67,33,0.4925373134328358,2.328059701492537,14.71556119402985,0.18917821375375246,2.4193849052610648,8.709428347305359,1.4296274841326418e-12,
b365,2024/25,1116514.3046553917,11.651430465539182,34,15,0.4411764705882353,2.53235294117647,13.828679411764702,0.16394117207852799,-2.730417453973458,-8.598881494896954,6.148337395565269e-10,
pinnacle,2024/25,1171129.3664035222,17.112936640352228,40,18,0.45,2.5524999999999998,15.319214999999996,0.1908801904501238,2.8504147122991386,9.833747980402853,4.104997148683292e-12,
b365,2025/26,964249.4733660268,-3.5750526633973267,47,19,0.40425531914893614,2.3404255319148937,12.959546808510641,0.15983608209196432,-2.163985803773472,-4.902556647106567,0.00013442642265320016,
pinnacle,2025/26,958826.3574664089,-4.117364253359113,18,7,0.3888888888888889,2.4944444444444445,10.945261111111115,0.11562524527722019,2.538911518568158,6.481042041250116,5.6442917461734645e-06,
