trial,final_bankroll,profit,n_bets
1,866900.0,-133100.0,137
2,1041400.0,41400.0,133
3,836400.0,-163600.0,122
4,890000.0,-110000.0,129
5,1093600.0,93600.0,124
6,921900.0,-78100.0,117
7,1150500.0,150500.0,120
8,1026200.0,26200.0,125
9,689100.0,-310900.0,140
10,1141300.0,141300.0,141
11,1043300.0,43300.0,135
12,832300.0,-167700.0,121
13,989500.0,-10500.0,126
14,795500.0,-204500.0,132
15,953100.0,-46900.0,128
16,951800.0,-48200.0,112
17,757900.0,-242100.0,129
18,964100.0,-35900.0,139
19,1050600.0,50600.0,130
20,938000.0,-62000.0,131
21,767900.0,-232100.0,137
22,921600.0,-78400.0,116
23,905800.0,-94200.0,128
24,825600.0,-174400.0,132
25,1245600.0,245600.0,113
